RequestID,Endpoint,Method,Latency_ms,time_request_to_Server,Time_response_from_server,Response_Code,Request_Count,Timestamp
1,/payments/verify,POST,3090,52:47.4,52:50.4,200,3993,52:47.4
2,/data/sync,DELETE,488,54:48.4,54:48.8,401,3056,54:48.4
3,/data/fetch,DELETE,314,00:25.4,00:25.7,200,988,00:25.4
4,/user/preferences,PATCH,469,05:36.4,05:36.8,403,711,05:36.4
5,/api/v1/products,DELETE,37654,06:09.4,06:47.0,408,1,06:09.4
6,/admin/logs,GET,88,13:43.4,13:43.4,401,2150,13:43.4
7,/admin/logs,PUT,8014,17:48.4,17:56.4,200,73,17:48.4
8,/auth/logout,PATCH,201,24:30.4,24:30.6,500,47,24:30.4
9,/search/quick,GET,352,24:55.4,24:55.7,200,42,24:55.4
10,/api/v1/orders,POST,160,25:24.4,25:24.5,403,3810,25:24.4
11,/api/v1/orders,DELETE,91,27:44.4,32:11.4,200,458,27:44.4
12,/admin/users,DELETE,409,37:34.4,37:34.8,200,15,37:34.4
13,/auth/reset,DELETE,198,39:21.4,39:21.5,201,2824,39:21.4
14,/admin/users,DELETE,9243,40:09.4,40:18.6,408,44,40:09.4
15,/payments/verify,GET,209,40:52.4,40:52.6,200,44,40:52.4
16,/payments/verify,GET,400,45:49.4,45:49.8,500,83,45:49.4
17,/admin/users,POST,4477,56:02.4,56:06.8,200,490,56:02.4
18,/payments/verify,PATCH,1835,59:03.4,59:05.2,404,252,59:03.4
19,/admin/dashboard,GET,261,00:52.4,00:52.6,401,204,00:52.4
20,/user/profile,DELETE,275,01:56.4,01:56.6,400,139,01:56.4
21,/payments/process,DELETE,427,06:32.4,06:32.8,201,69,06:32.4
22,/auth/login,PUT,214,35:55.4,35:55.6,200,2689,35:55.4
23,/auth/login,DELETE,407,38:00.4,38:00.8,200,842,38:00.4
24,/api/v1/orders,POST,373,46:00.4,46:47.7,200,29,46:00.4
25,/user/profile,PATCH,151,50:13.4,50:13.5,200,25,50:13.4
26,/search/advanced,DELETE,363,54:34.4,54:34.7,404,824,54:34.4
27,/user/preferences,GET,192,01:12.4,01:12.5,401,42,01:12.4
28,/user/profile,PATCH,440,04:42.4,04:42.8,401,898,04:42.4
29,/api/v1/orders,DELETE,8755,09:54.4,10:03.1,200,153,09:54.4
30,/api/v1/orders,POST,280,11:16.4,11:16.6,404,2364,11:16.4
31,/auth/reset,PUT,737,11:59.4,12:00.1,404,39,11:59.4
32,/payments/verify,PATCH,181,15:16.4,15:16.5,200,38,15:16.4
33,/admin/logs,POST,1957,19:45.4,19:47.3,401,49,19:45.4
34,/api/v1/orders,PATCH,473,36:44.4,36:44.8,500,4531,36:44.4
35,/api/v1/orders,PUT,337,47:50.4,47:50.7,400,293,47:50.4
36,/data/fetch,POST,27532,49:10.4,49:37.9,500,407,49:10.4
37,/payments/process,POST,36171,59:20.4,59:56.5,504,309,59:20.4
38,/auth/login,PUT,443,01:58.4,01:58.8,500,874,01:58.4
39,/user/preferences,POST,436,03:31.4,03:31.8,503,410,03:31.4
40,/payments/verify,POST,378,08:10.4,08:10.7,200,62,08:10.4
41,/admin/logs,GET,75,11:05.4,11:05.4,200,876,11:05.4
42,/api/v1/orders,DELETE,472,12:17.4,12:17.8,200,31,12:17.4
43,/auth/reset,GET,280,17:02.4,17:02.6,200,443,17:02.4
44,/search/advanced,PUT,469,24:38.4,24:38.8,201,3784,24:38.4
45,/search/quick,POST,666,40:08.4,40:09.0,404,45,40:08.4
46,/user/preferences,PUT,355,05:50.4,05:50.7,403,34,05:50.4
47,/user/profile,DELETE,488,06:23.4,06:23.8,404,35,06:23.4
48,/api/v1/products,DELETE,152,06:47.4,06:47.5,404,132,06:47.4
49,/api/v1/orders,GET,1633,10:21.4,10:23.0,200,1931,10:21.4
50,/auth/logout,POST,444,18:52.4,18:52.8,404,168,18:52.4
51,/admin/dashboard,POST,1842,19:10.4,19:12.2,200,164,19:10.4
52,/admin/dashboard,POST,96,30:50.4,30:50.4,200,3505,30:50.4
53,/user/preferences,PATCH,256,38:27.4,38:27.6,400,422,38:27.4
54,/admin/dashboard,GET,285,55:17.4,55:17.6,401,7,55:17.4
55,/user/preferences,POST,1670,02:58.4,03:00.0,400,44,02:58.4
56,/search/advanced,DELETE,120,04:25.4,04:25.5,200,5203,04:25.4
57,/api/v1/products,PATCH,8590,27:50.4,27:58.9,200,3690,27:50.4
58,/search/quick,PUT,476,36:18.4,36:18.8,200,224,36:18.4
59,/data/fetch,PATCH,191,38:08.4,38:08.5,200,867,38:08.4
60,/auth/login,DELETE,163,39:35.4,39:35.5,201,29,39:35.4
61,/api/v1/orders,POST,9390,53:26.4,53:35.7,200,578,53:26.4
62,/user/settings,POST,292,55:10.4,55:10.6,200,89,55:10.4
63,/payments/verify,DELETE,149,00:31.4,00:31.5,500,2679,00:31.4
64,/data/sync,DELETE,47886,08:13.4,09:01.2,500,635,08:13.4
65,/user/preferences,DELETE,105,10:04.4,10:04.5,400,721,10:04.4
66,/data/fetch,DELETE,493,11:00.4,11:00.8,400,67,11:00.4
67,/data/sync,POST,175,12:50.4,12:50.5,200,123,12:50.4
68,/api/v1/customers,POST,4490,17:24.4,17:28.8,200,486,17:24.4
69,/admin/logs,DELETE,1152,17:26.4,17:27.5,401,91,17:26.4
70,/payments/process,PUT,94,17:49.4,17:49.4,201,2681,17:49.4
71,/search/advanced,POST,50,19:31.4,19:31.4,200,389,19:31.4
72,/auth/login,POST,437,29:53.4,29:53.8,201,68,29:53.4
73,/api/v1/customers,PATCH,313,35:30.4,35:30.7,200,141,35:30.4
74,/api/v1/orders,PUT,356,40:30.4,44:16.7,200,162,40:30.4
75,/payments/process,PUT,119,44:34.4,44:34.5,400,690,44:34.4
76,/auth/logout,DELETE,658,49:47.4,49:48.0,200,31,49:47.4
77,/user/preferences,PUT,266,04:18.4,04:18.6,200,2753,04:18.4
78,/data/fetch,PUT,1674,05:16.4,05:18.0,401,21,05:16.4
79,/admin/logs,POST,8221,10:09.4,14:33.6,200,2651,10:09.4
80,/admin/users,PUT,6004,12:47.4,12:53.4,200,24,12:47.4
81,/payments/verify,PATCH,1154,16:36.4,21:22.5,400,32,16:36.4
82,/api/v1/customers,POST,98,19:06.4,21:03.4,201,874,19:06.4
83,/data/sync,PUT,123,26:53.4,26:53.5,200,4436,26:53.4
84,/data/fetch,PUT,411,27:55.4,27:55.8,400,173,27:55.4
85,/payments/process,PATCH,304,42:12.4,42:12.7,500,3907,42:12.4
86,/user/settings,POST,99,51:31.4,51:31.5,200,540,51:31.4
87,/search/advanced,PATCH,191,00:10.4,00:10.5,201,4937,00:10.4
88,/auth/login,GET,443,04:42.4,04:42.8,200,406,04:42.4
89,/data/fetch,GET,1571,09:16.4,09:17.9,500,167,09:16.4
90,/data/upload,GET,479,16:27.4,16:27.8,500,9,16:27.4
91,/user/preferences,PUT,314,16:56.4,16:56.7,200,3754,16:56.4
92,/user/settings,POST,210,20:01.4,20:01.6,400,188,20:01.4
93,/payments/process,POST,463,21:50.4,21:50.8,404,8,21:50.4
94,/admin/dashboard,POST,178,24:11.4,24:11.5,200,730,24:11.4
95,/user/preferences,POST,92,25:44.4,25:44.4,200,822,25:44.4
96,/auth/logout,GET,194,25:50.4,25:50.5,201,5058,25:50.4
97,/admin/dashboard,DELETE,216,31:26.4,31:26.6,200,28,31:26.4
98,/user/preferences,POST,239,35:19.4,35:19.6,200,125,35:19.4
99,/auth/reset,PATCH,238,44:51.4,44:51.6,200,16,44:51.4
100,/admin/users,PUT,885,48:05.4,48:06.2,500,178,48:05.4
101,/user/preferences,GET,28152,00:17.4,00:45.5,503,4180,00:17.4
102,/api/v1/customers,PATCH,264,03:40.4,03:40.6,200,4652,03:40.4
103,/payments/verify,GET,1277,08:51.4,08:52.6,200,71,08:51.4
104,/api/v1/orders,PATCH,73,10:24.4,10:24.4,500,28,10:24.4
105,/data/fetch,GET,479,26:00.4,26:00.8,200,40,26:00.4
106,/api/v1/customers,POST,383,30:34.4,30:34.7,200,4227,30:34.4
107,/user/preferences,POST,261,31:46.4,31:46.6,400,106,31:46.4
108,/payments/verify,POST,177,35:49.4,35:49.5,400,29,35:49.4
109,/admin/dashboard,PATCH,18584,40:44.4,41:02.9,408,154,40:44.4
110,/data/upload,PATCH,24445,49:58.4,50:22.8,500,736,49:58.4
111,/api/v1/products,PATCH,249,54:13.4,54:13.6,200,32,54:13.4
112,/user/profile,PUT,80,01:02.4,01:02.4,200,49,01:02.4
113,/data/sync,POST,257,05:18.4,05:18.6,200,56,05:18.4
114,/admin/logs,DELETE,430,14:31.4,14:31.8,401,2232,14:31.4
115,/data/fetch,DELETE,926,18:42.4,18:43.3,404,95,18:42.4
116,/payments/process,PUT,42885,31:05.4,31:48.2,503,5161,31:05.4
117,/admin/users,DELETE,51,33:46.4,33:46.4,201,815,33:46.4
118,/auth/reset,PUT,9118,37:03.4,37:12.5,500,768,37:03.4
119,/user/settings,DELETE,358,43:24.4,43:24.7,201,211,43:24.4
120,/search/quick,PUT,80,45:18.4,45:18.4,503,3732,45:18.4
121,/data/fetch,PUT,22301,48:09.4,48:31.7,408,1918,48:09.4
122,/user/settings,GET,1380,49:15.4,49:16.7,200,8,49:15.4
123,/user/preferences,DELETE,315,51:33.4,51:33.7,503,37,51:33.4
124,/data/upload,PUT,271,53:43.4,55:17.6,200,62,53:43.4
125,/api/v1/orders,PATCH,88,54:53.4,54:53.4,403,197,54:53.4
126,/data/upload,DELETE,395,58:05.4,58:05.7,503,399,58:05.4
127,/user/profile,PATCH,281,58:45.4,58:45.6,403,42,58:45.4
128,/auth/login,PUT,538,00:46.4,00:46.9,400,368,00:46.4
129,/auth/logout,DELETE,122,02:43.4,02:43.5,401,23,02:43.4
130,/admin/dashboard,POST,101,03:52.4,03:52.5,200,544,03:52.4
131,/data/sync,DELETE,221,09:11.4,09:11.6,500,874,09:11.4
132,/search/advanced,PATCH,246,09:22.4,09:22.6,500,163,09:22.4
133,/api/v1/products,DELETE,209,10:07.4,10:07.6,200,458,10:07.4
134,/user/preferences,GET,50,12:05.4,12:05.4,200,162,12:05.4
135,/api/v1/products,PATCH,707,17:18.4,17:19.1,403,595,17:18.4
136,/search/advanced,PATCH,81,23:53.4,23:53.4,403,45,23:53.4
137,/user/settings,GET,225,24:27.4,24:27.6,200,3083,24:27.4
138,/payments/verify,PATCH,224,26:17.4,26:17.6,401,638,26:17.4
139,/user/settings,DELETE,4735,28:03.4,28:08.1,503,2334,28:03.4
140,/admin/dashboard,GET,377,45:23.4,45:23.7,201,3462,45:23.4
141,/auth/login,GET,1510,57:53.4,57:54.9,200,3592,57:53.4
142,/data/sync,PATCH,301,04:48.4,04:48.7,200,441,04:48.4
143,/payments/verify,GET,140,33:28.4,33:28.5,200,1,33:28.4
144,/payments/process,PUT,1398,41:57.4,41:58.7,503,208,41:57.4
145,/admin/logs,GET,52,54:14.4,54:14.4,200,32,54:14.4
146,/payments/verify,POST,430,56:01.4,56:01.8,200,7,56:01.4
147,/data/sync,PUT,82,57:17.4,59:41.4,400,2648,57:17.4
148,/admin/users,POST,362,01:24.4,04:55.7,200,16,01:24.4
149,/auth/logout,PUT,385,06:47.4,06:47.7,200,579,06:47.4
150,/search/quick,DELETE,147,19:25.4,23:05.5,200,55,19:25.4
151,/payments/process,POST,64,42:37.4,42:37.4,403,23,42:37.4
152,/api/v1/orders,PATCH,77,52:27.4,52:27.4,404,16,52:27.4
153,/auth/logout,POST,2099,00:09.4,00:11.5,200,705,00:09.4
154,/data/upload,GET,432,04:06.4,04:06.8,400,100,04:06.4
155,/api/v1/orders,GET,343,05:44.4,05:44.7,500,2815,05:44.4
156,/data/fetch,POST,118,06:29.4,06:29.5,200,725,06:29.4
157,/search/quick,DELETE,4694,11:36.4,11:41.0,200,3617,11:36.4
158,/user/settings,PUT,500,13:08.4,13:08.9,201,471,13:08.4
159,/data/fetch,DELETE,581,14:12.4,14:12.9,200,88,14:12.4
160,/payments/verify,PATCH,163,23:01.4,23:01.5,400,940,23:01.4
161,/admin/users,PUT,63,32:56.4,35:38.4,404,68,32:56.4
162,/admin/logs,PUT,485,33:49.4,33:49.8,500,3,33:49.4
163,/payments/process,GET,573,41:49.4,41:49.9,200,481,41:49.4
164,/user/profile,POST,385,55:56.4,55:56.7,200,3496,55:56.4
165,/api/v1/customers,PUT,223,56:46.4,56:46.6,500,251,56:46.4
166,/api/v1/orders,DELETE,277,07:22.4,10:39.6,401,639,07:22.4
167,/admin/users,DELETE,1047,29:36.4,29:37.4,201,388,29:36.4
168,/data/sync,PATCH,186,30:35.4,30:35.5,201,4390,30:35.4
